Nama Daerah,Jumlah_Penduduk,Penduduk_Sekolah,Penduduk_Bekerja,Penduduk_Tidak_Bekerja,Pencari_Kerja,Lowongan_Kerja,Upah_Minimum,RUP
Aceh,5333.7,328898,2361300,116468,23372,3863,2341701,3165031
Sumatera Utara,14936.2,819733,7035850,253014,83065,8752,2347229,2499423
Sumatera Barat,5580.2,385915,2581444,86484,42375,10030,2644615,2484041
Riau,6493.6,397560,3148947,67518,58397,5449,2626889,2888564
Jambi,3585.1,196461,1746840,56898,25704,4200,2268338,2630162
Sumatera Selatan,8550.9,430292,4179708,125049,55880,4471,2225264,3144446
Bengkulu,2032.9,116606,1021775,20617,7693,4621,2562262,2215000
Lampung,9081.8,408595,4284320,101604,64069,16861,2197346,2432002
Kepulauan Bangka Belitung,1473.2,71729,701441,16847,6883,5381,2644207,3230024
Kepulauan Riau,2118.2,149288,1087419,39314,30397,12712,4056847,3005460
DKI Jakarta,10609.7,669558,4737415,233074,214705,43181,4028744,4416187
Jawa Barat,48782.4,2756732,22313481,1164505,734897,68793,3083829,1810351
Jawa Tengah,36742.5,1795640,17835770,396997,406092,81543,2074451,1798979
DI Yogyakarta,3712.9,253480,2228523,32609,44361,15801,2272425,1765000
Jawa Timur,40878.8,2042868,21037750,608310,368560,105782,2368719,1868777
Banten,12061.5,728891,5698344,316640,232450,7823,3782482,2460997
Bali,4362.7,261135,2441854,37221,39440,23554,2388382,2494000
Nusa Tenggara Barat,5390,248399,2657395,23892,30524,20289,2133236,2183883
Nusa Tenggara Timur,5387.7,298015,2808620,68378,13876,6122,2104730,1950000
Kalimantan Barat,5470.8,270636,2482453,77864,23818,4908,2424267,2399699
Kalimantan Tengah,2702.2,133811,1346437,39669,17526,3323,2888690,2903145
Kalimantan Selatan,4122.6,215978,2109427,50696,23593,7993,2634325,2877449
Kalimantan Timur,3808.2,228949,1720361,64414,32029,8757,3695990,2981379
Kalimantanan Utara,713.6,40437,338152,8841,3515,2323,3289079,3000804
Sulawesi Utara,2638.6,138685,1126797,49771,13944,3777,3124581,3310723
Sulawesi Tengah,3021.9,148155,1524730,35784,17468,7222,2586329,2303711
Sulawesi Selatan,9139.5,464500,4160433,143347,76365,8104,2760728,3165876
Sulawesi Tenggara,2659.2,150296,1327069,27983,12381,3698,2573453,2552015
Gorontalo,1181,64609,579009,8949,3656,2376,2242813,2788826
Sulawesi Barat,1436.8,57764,686544,11347,5075,2183,2200963,2678863
Maluku,1862.6,100754,800755,40825,14314,2406,2676833,2604961
Maluku Utara,1299.2,66609,568698,19330,3318,504,2996268,2721530
Papua Barat,1156.8,57470,483681,19666,3989,677,3239125,3134600
Papua,4355.5,145994,1887781,52959,4068,320,3949649,3516700
